id,name,type,club,youth,nation,peakvalue
boc5,Jacek Goralski,1,boc,zaw,NA,B
boc6,Patrick Osterhage,1,boc,bvbj,NA,A
boc7,Kevin Stoeger,1,boc,vfbj,NA,C
boc8,Anthony Losilla,1,boc,asse,NA,A
boc9,Simon Zoller,1,boc,ksc,NA,B
bocj,VfL Bochum Jugend,2,NA,NA,GER,NA
bonn,Bonner SC,2,NA,NA,GER,NA
brab,Brabrand IF,2,NA,NA,DEN,NA
bro,Broendby IF,2,NA,NA,DEN,NA
brue,FC Bruegge,2,NA,NA,BEL,NA
bsc,Hertha BSC Berlin,2,NA,NA,GER,NA
bsc1,Oliver Christensen,1,bsc,obk,NA,B
bsc10,Jean Paul Boetius,1,bsc,feye,NA,C
bsc14,Dodi Lukebakio,1,bsc,and,NA,G
bsc16,Jonjoe Kenny,1,bsc,eve,NA,E
bsc17,Maximilian Mittelstaedt,1,bsc,bscj,NA,E
bsc18,Wilfried Kanga,1,bsc,psg,NA,B
bsc19,Stefan Jovetic,1,bsc,part,NA,H
bsc2,Peter Pekarik,1,bsc,dubn,NA,B
bsc20,Marc Oliver Kempf,1,bsc,sgej,NA,D
bsc21,Marvin Plattenhardt,1,bsc,fcn,NA,F
bsc23,Marco Richter,1,bsc,fcaj,NA,D
bsc24,Jessic Ngankam,1,bsc,bscj,NA,A
bsc27,Kevin Prince Boateng,1,bsc,bscj,NA,G
bsc29,Lucas Tousart,1,bsc,vafc,NA,G
bsc3,Augustin Rogel,1,bsc,naci,NA,B
bsc31,Marton Dardai,1,bsc,bscj,NA,C
bsc34,Ivan Sunjic,1,bsc,zag,NA,C
bsc39,Derry Scherhant,1,bsc,bscj,NA,A
bsc40,Chidera Ejuke,1,bsc,suco,NA,D
bsc42,Julian Eitschberger,1,bsc,bscj,NA,A
bsc5,Filip Uremovic,1,bsc,cib,NA,C
bsc6,Tolga Cigerci,1,bsc,wobj,NA,B
bsc7,Florian Niederlechner,1,bsc,eber,NA,D
bsc8,Suat Serdar,1,bsc,fsvj,NA,G
bscj,Hertha BSC Jugend,2,NA,NA,GER,NA
burg,Wacker Burghausen,2,NA,NA,GER,NA
bvb,Borussia Dortmund,2,NA,NA,GER,NA
bvb1,Gregor Kobel,1,bvb,gcz,NA,G
bvb11,Marco Reus,1,bvb,rwa,NA,J
bvb13,Raphael Guerreiro,1,bvb,caen,NA,I
bvb14,Nico Schulz,1,bvb,bscj,NA,G
bvb15,Mats Hummels,1,bvb,fcbj,NA,K
bvb17,Marius Wolf,1,bvb,mu60,NA,D
bvb18,Youssoufa Moukoko,1,bvb,bvbj,NA,H
bvb19,Julian Brandt,1,bvb,wobj,NA,J
bvb2,Mateu Morey,1,bvb,bar,NA,C
bvb20,Anthony Modeste,1,bvb,niz,NA,F
bvb21,Donyell Malen,1,bvb,ars,NA,H
bvb22,Jude Bellingham,1,bvb,bir,NA,L
bvb23,Emre Can,1,bvb,fcbj,NA,I
bvb24,Thomas Meunier,1,bvb,rev,NA,I
bvb25,Niklas Suele,1,bvb,tsgj,NA,K
bvb26,Julian Ryerson,1,bvb,vik,NA,C
bvb27,Karim Adeyemi,1,bvb,uha,NA,I
bvb30,Felix Passlack,1,bvb,bvbj,NA,B
bvb33,Alexander Meyer,1,bvb,hsv,NA,A
bvb35,Marcel Lotka,1,bvb,levj,NA,A
bvb36,Tom Rothe,1,bvb,bvbj,NA,B
bvb4,Nico Schlotterbeck,1,bvb,scfj,NA,I
bvb43,Jamie Bynoe Gittens,1,bvb,bvbj,NA,D
bvb47,Antonios Papadopoulos,1,bvb,vfra,NA,A
bvb6,Salih Oezcan,1,bvb,koej,NA,F
bvb7,Giovanni Reyna,1,bvb,nyfc,NA,J
bvb8,Mahmoud Dahoud,1,bvb,bmgj,NA,F
bvb9,Sebastien Haller,1,bvb,aux,NA,J
bvbj,Borussia Dortmund Jugend,2,NA,NA,GER,NA
cac,CA Colon,2,NA,NA,ARG,NA
caen,SM Caen,2,NA,NA,FRA,NA
cal,Deportivo Cali,2,NA,NA,ESP,NA
cco,Central Coast,2,NA,NA,AUS,NA
cfc,Chelsea London,2,NA,NA,ENG,NA
cib,Cibalia,2,NA,NA,CRO,NA
cob,Cobreloa,2,NA,NA,CHI,NA
cott,Energie Cottbus,2,NA,NA,GER,NA
cuk,FK Cukaricki,2,NA,NA,SRB,NA
czj,FC Carl Zeiss Jena,2,NA,NA,GER,NA
dcu,DC United,2,NA,NA,USA,NA
der,Derby County,2,NA,NA,ENG,NA
dubn,FK Dubnica,2,NA,NA,SVK,NA
duis,MSV Duisburg,2,NA,NA,GER,NA
eber,TSV Ebersberg,2,NA,NA,GER,NA
ebs,Eintracht Braunschweig,2,NA,NA,GER,NA
espb,Espanyol Barcelona,2,NA,NA,ESP,NA
eve,FC Everton,2,NA,NA,ENG,NA
fca,FC Augsburg,2,NA,NA,GER,NA
fca1,Rafal Gikiewicz,1,fca,ols,NA,A
fca10,Arne Maier,1,fca,bscj,NA,G
fca11,Mergim Berisha,1,fca,rbs,NA,D
fca13,Elvis Rexhbecaj,1,fca,wobj,NA,D
fca14,Julian Baumgartlinger,1,fca,mu60,NA,C
fca16,Ruben Vargas,1,fca,luz,NA,E
fca17,Noah Sarenren Bazee,1,fca,han,NA,A
fca19,Felix Udokhai,1,fca,mu60,NA,F
fca2,Robert Gumny,1,fca,lech,NA,B
fca20,Daniel Caligiuri,1,fca,scfj,NA,C
fca22,Iago,1,fca,inte,NA,C
fca23,Maximilian Bauer,1,fca,fur,NA,B
fca24,Fredrik Jensen,1,fca,twen,NA,B
fca27,Arne Engels,1,fca,brue,NA,A
fca28,Andre Hahn,1,fca,hsv,NA,D
fca3,Mads Pedersen,1,fca,fcno,NA,B
fca30,Niklas Dorsch,1,fca,fcbj,NA,D
fca38,David Colina,1,fca,asm,NA,A
fca39,Benjamin Leneis,1,fca,fcaj,NA,A
fca4,Reece Oxford,1,fca,whu,NA,E
fca40,Tomas Koubek,1,fca,kral,NA,C
fca42,Aaron Zehnter,1,fca,fcaj,NA,A
fca45,Kelvin Yeboah,1,fca,goz,NA,C
fca48,Irvin Cardona,1,fca,asm,NA,D
fca5,Tobias Strobl,1,fca,mu60,NA,D
fca6,Jeffrey Gouweleeuw,1,fca,hee,NA,E
fca7,Dion Beljo,1,fca,cib,NA,C
fca8,Renato Veiga,1,fca,spo,NA,A
fca9,Ermedin Demirovic,1,fca,rblj,NA,E
fcaj,FC Augsburg Jugend,2,NA,NA,GER,NA
fcb,FC Bayern München,2,NA,NA,GER,NA
fcb1,Manuel Neuer,1,fcb,gelj,NA,J
fcb10,Leroy Sane,1,fcb,gelj,NA,L
fcb11,Kingsley Coman,1,fcb,psg,NA,L
fcb13,Eric Maxim Choupo Moting,1,fcb,hsv,NA,D
fcb14,Paul Wanner,1,fcb,fcb,NA,B
fcb17,Sadio Mane,1,fcb,foot,NA,L
fcb19,Alphonso Davies,1,fcb,vanw,NA,L
fcb2,Dayot Upamecano,1,fcb,vafc,NA,K
fcb20,Bouna Sarr,1,fcb,met,NA,D
fcb21,Lucas Hernandez,1,fcb,atm,NA,L
fcb22,Joao Cancelo,1,fcb,ben,NA,L
fcb23,Daley Blind,1,fcb,aja,NA,G
fcb25,Thomas Mueller,1,fcb,fcbj,NA,L
fcb26,Sven Ulreich,1,fcb,vfbj,NA,D
fcb27,Yann Sommer,1,fcb,bas,NA,E
fcb38,Ryan Gravenberch,1,fcb,aja,NA,I
fcb39,Mathys Tel,1,fcb,ren,NA,F
fcb4,Mathijs de Ligt,1,fcb,aja,NA,L
fcb40,Noussair Mazraoui,1,fcb,aja,NA,H
fcb42,Jamal Musiala,1,fcb,fcbj,NA,L
fcb44,Josip Stanisic,1,fcb,fcbj,NA,D
fcb5,Benjamin Pavard,1,fcb,lil,NA,J
fcb6,Joshua Kimmich,1,fcb,vfbj,NA,L
fcb7,Serge Gnabry,1,fcb,ars,NA,L
fcb8,Leon Goretzka,1,fcb,bocj,NA,L
fcbj,FC Bayern Jugend,2,NA,NA,GER,NA
fck,1 FC Kaiserslautern,2,NA,NA,GER,NA
fcn,1 FC Nuernberg,2,NA,NA,GER,NA
fcno,FC Nordsjaelland,2,NA,NA,DEN,NA
fcsi,FC Sion,2,NA,NA,SUI,NA
fcu,1 FC Union Berlin,2,NA,NA,GER,NA
fcu1,Frederik Roennow,1,fcu,hors,NA,B
fcu11,Sven Michel,1,fcu,nied,NA,A
fcu13,Andras Schaefer,1,fcu,mtk,NA,B
fcu14,Paul Seguin,1,fcu,wobj,NA,A
fcu16,Tim Maciejewski,1,fcu,fcuj,NA,A
fcu17,Kevin Behrens,1,fcu,svwj,NA,A
fcu18,Josip Juranovic,1,fcu,nkd,NA,D
fcu19,Jannik Haberer,1,fcu,uha,NA,D
fcu2,Morten Thorsby,1,fcu,stab,NA,C
fcu20,Aissa Laidouni,1,fcu,asco,NA,B
fcu23,Niko Giesselmann,1,fcu,han,NA,B
fcu25,Timo Baumgartl,1,fcu,vfbj,NA,E
fcu26,Jerome Rousillon,1,fcu,soc,NA,F
fcu27,Sheraldo Becker,1,fcu,aja,NA,E
fcu28,Christopher Trimmel,1,fcu,hori,NA,A
fcu3,Paul Jaeckel,1,fcu,wobj,NA,C
fcu30,Kevin Moehwald,1,fcu,rwer,NA,B
fcu31,Robin Knoche,1,fcu,wobj,NA,E
fcu32,Milos Pantovic,1,fcu,fcbj,NA,A
fcu37,Lennart Grill,1,fcu,fck,NA,A
fcu4,Diogo Leite,1,fcu,prt,NA,D
fcu40,Jamie Leweling,1,fcu,fur,NA,B
fcu45,Jordan Siebatcheu,1,fcu,reim,NA,D
fcu5,Danilho Doekhi,1,fcu,aja,NA,B
fcu7,Levin Oeztunali,1,fcu,hsv,NA,C
fcu8,Rani Khedira,1,fcu,vfbj,NA,D
fcuj,Union Berlin Jugend,2,NA,NA,GER,NA
fcz,FC Zuerich,2,NA,NA,SUI,NA
fen,Fenerbahce Istanbul,2,NA,NA,TUR,NA
feye,Feyenoord Rotterdam,2,NA,NA,NED,NA
fhs,Fujieda Highschool,2,NA,NA,JAP,NA
foot,Generation Foot,2,NA,NA,SEN,NA
for,Fortuna Duesseldorf,2,NA,NA,GER,NA
fsv,FSV Mainz 05,2,NA,NA,GER,NA
fsv1,Finn Dahmen,1,fsv,fsvj,NA,A
fsv11,Marcus Ingvartsen,1,fsv,fcno,NA,B
fsv16,Stefan Bell,1,fsv,fsvj,NA,C
fsv17,Ludovic Ajourque,1,fsv,asco,NA,F
fsv19,Anthony Caci,1,fsv,stra,NA,C
fsv20,Edmilson Fernandes,1,fsv,fcsi,NA,D
fsv21,Danny da Costa,1,fsv,levj,NA,E
fsv25,Andreas Hanche Olsen,1,fsv,stab,NA,B
fsv27,Robin Zentner,1,fsv,fsvj,NA,B
fsv29,Jonathan Burkardt,1,fsv,fsvj,NA,F
fsv3,Aaron Martin,1,fsv,espb,NA,F
fsv30,Silvan Widmer,1,fsv,aar,NA,D
fsv31,Dominik Kohr,1,fsv,levj,NA,D
fsv36,Marlon Mustapha,1,fsv,fsvj,NA,A
fsv37,Delano Burgzorg,1,fsv,graa,NA,A
fsv4,Aymen Barkok,1,fsv,sgej,NA,B
fsv42,Alexander Hack,1,fsv,mu60,NA,B
fsv43,Brajan Gruda,1,fsv,fsvj,NA,A
fsv44,Nelson Weiper,1,fsv,fsvj,NA,A
fsv5,Maxim Leitsch,1,fsv,bocj,NA,B
fsv6,Anton Stach,1,fsv,osna,NA,E
fsv7,Jae Sung Lee,1,fsv,kun,NA,B
fsv8,Leandro Barreiro,1,fsv,fsvj,NA,E
fsv9,Karim Onisiwo,1,fsv,twl,NA,B
fsvj,FSV Mainz Jugend,2,NA,NA,GER,NA
ful,FC Fulham,2,NA,NA,ENG,NA
fur,Greuther Fuerth,2,NA,NA,GER,NA
gala,Galatasaray Istanbul,2,NA,NA,TUR,NA
gamb,Gamba Osaka,2,NA,NA,JAP,NA
gcz,Grasshoppers Zuerich,2,NA,NA,SUI,NA
gel,FC Schalke 04,2,NA,NA,GER,NA
gel1,Ralf Faehrmann,1,gel,gelj,NA,E
gel10,Rodrigo Zalazar,1,gel,mala,NA,B
gel11,Marius Buelter,1,gel,muns,NA,B
gel13,Alexander Schwolow,1,gel,scfj,NA,D
gel15,Timothee Kolodziejczak,1,gel,len,NA,C
gel18,Jere Uronen,1,gel,tps,NA,B
gel19,Kenan Karaman,1,gel,tsgj,NA,B
gel2,Thomas Ouwejan,1,gel,alk,NA,B
gel20,Tim Skarke,1,gel,heid,NA,A
gel21,Niklas Tauer,1,gel,fsvj,NA,A
gel23,Mehmet Aydin,1,gel,gelj,NA,B
gel24,Dominick Drexler,1,gel,levj,NA,B
gel25,Moritz Jenz,1,gel,ful,NA,B
gel26,Michael Frey,1,gel,ybb,NA,C
gel27,Cedric Brunner,1,gel,fcz,NA,B
gel29,Tobias Mohr,1,gel,aaa,NA,A
gel3,Leo Greiml,1,gel,stpo,NA,B
gel30,Alex Kral,1,gel,slpr,NA,D
gel33,Eder Balanta,1,gel,rivp,NA,C
gel34,Michael Langer,1,gel,vfbj,NA,A
gel35,Marcin Kaminski,1,gel,lech,NA,B
gel37,Andreas Ivan,1,gel,stk,NA,A
gel38,Siochiro Kozuki,1,gel,sang,NA,A
gel4,Maya Yoshida,1,gel,nag,NA,C
gel40,Sebastian Polter,1,gel,wobj,NA,A
gel41,Henning Matriciani,1,gel,lipp,NA,A
gel5,Sepp van den Berg,1,gel,zwo,NA,C
gel6,Tom Krauss,1,gel,rblj,NA,C
gel8,Danny Latza,1,gel,gelj,NA,C
gel9,Simon Terodde,1,gel,duis,NA,B
gelj,FC Schalke 04 Jugend,2,NA,NA,GER,NA
goz,Gozzano,2,NA,NA,ITA,NA
graa,De Graafschap Doetinchem,2,NA,NA,NED,NA
graz,Sturm Graz,2,NA,NA,AUT,NA
habi,VfB Habinghorst,2,NA,NA,GER,NA
han,Hannover 96,2,NA,NA,GER,NA
have,TSV Havelse,2,NA,NA,GER,NA
hee,SC Heerenveen,2,NA,NA,NED,NA
heid,1 FC Heidenheim,2,NA,NA,GER,NA
hern,Westfalia Herne,2,NA,NA,GER,NA
hhs,Higashiyama Highschool,2,NA,NA,JAP,NA
hoed,IL Hoedd,2,NA,NA,NOR,NA
hori,ASK Horitschon,2,NA,NA,AUT,NA
hors,AC Horsens,2,NA,NA,DEN,NA
hro,Hansa Rostock,2,NA,NA,GER,NA
hsv,Hamburger SV,2,NA,NA,GER,NA
ind,Indepidiente del Valle,2,NA,NA,ECU,NA
inte,Internacional Porto Alegre,2,NA,NA,BRA,NA
iwa,Jubilo Iwata,2,NA,NA,JAP,NA
kaw,Kawasaki Frontale,2,NA,NA,JAP,NA
kirc,VfL Kirchheim,2,NA,NA,GER,NA
koe,1. FC Koeln,2,NA,NA,GER,NA
koe1,Timo Horn,1,koe,koej,NA,E
koe11,Florian Kainz,1,koe,graz,NA,B
koe13,Marc Uth,1,koe,koej,NA,G
koe14,Jonas Hector,1,koe,auer,NA,F
koe15,Luca Kilian,1,koe,bvbj,NA,B
koe17,Kingsley Schindler,1,koe,han,NA,B
koe19,Dimitrios Limnios,1,koe,atro,NA,B
koe2,Benno Schmitz,1,koe,fcbj,NA,B
koe20,Marvin Schwaebe,1,koe,sgej,NA,B
koe21,Steffen Tigges,1,koe,osna,NA,B
koe23,Sargis Adamyan,1,koe,hro,NA,B
koe24,Julian Chabot,1,koe,rblj,NA,A
koe25,Tim Lemperle,1,koe,koej,NA,A
koe27,Davie Selke,1,koe,svwj,NA,F
koe28,Ellyes Skhiri,1,koe,mont,NA,E
koe29,Jan Thielmann,1,koe,koej,NA,D
koe3,Kristian Pedersen,1,koe,beif,NA,B
koe33,Florian Dietz,1,koe,czj,NA,A
koe37,Linton Mai,1,koe,han,NA,D
koe4,Timo Huebers,1,koe,han,NA,C
koe47,Mathias Olesen,1,koe,koej,NA,A
koe48,Justin Diehl,1,koe,koej,NA,A
koe5,Nikola Soldo,1,koe,zapr,NA,A
koe6,Eric Martel,1,koe,rblj,NA,B
koe7,Dejan Ljubicic,1,koe,rwie,NA,D
koe8,Denis Huseinbasic,1,koe,off,NA,A
koe9,Sebastian Andersson,1,koe,ange,NA,C
koej,1 FC Koeln Jugend,2,NA,NA,GER,NA
kop,FC Kopenhagen,2,NA,NA,DEN,NA
kral,Hradec Kralove,2,NA,NA,CZE,NA
krc,KRC Genk,2,NA,NA,BEL,NA
ksc,Karlsruher SC,2,NA,NA,GER,NA
kun,Korea University,2,NA,NA,KOR,NA
lech,Lech Posen,2,NA,NA,POL,NA
leix,Leixoes SC,2,NA,NA,POR,NA
len,RC Lens,2,NA,NA,FRA,NA
lev,Bayer 04 Leverkusen,2,NA,NA,GER,NA
lev1,Lukas Hradecky,1,lev,tps,NA,E
lev10,Kerem Demirbay,1,lev,bvbj,NA,I
lev11,Nadiem Amiri,1,lev,tsgj,NA,G
lev12,Edmond Tapsoba,1,lev,leix,NA,I
lev14,Patrik Schick,1,lev,spra,NA,J
lev17,Callum Hudson Odoi,1,lev,cfc,NA,I
lev19,Moussa Diaby,1,lev,psg,NA,K
lev20,Charles Aranguiz,1,lev,cob,NA,E
lev21,Amine Adli,1,lev,tou,NA,E
lev22,Daley Sinkgraven,1,lev,hee,NA,D
lev23,Adam Hlozek,1,lev,spra,NA,F
lev24,Timothy Fosu Mensah,1,lev,manu,NA,C
lev25,Exequiel Palacios,1,lev,rivp,NA,G
lev27,Florian Wirtz,1,lev,koej,NA,L
lev3,Piero Hincapie,1,lev,ind,NA,G
lev30,Jeremie Frimpong,1,lev,manc,NA,G
lev32,Ayman Azhil,1,lev,levj,NA,A
lev38,Karim Bellarabi,1,lev,ebs,NA,G
lev4,Jonathan Tah,1,lev,hsv,NA,I
lev40,Andrey Lunev,1,lev,tor,NA,E
lev5,Mitchell Bakker,1,lev,aja,NA,E
lev6,Odilon Koussounou,1,lev,asec,NA,G
lev8,Robert Andrich,1,lev,bscj,NA,E
lev9,Sardar Azmoun,1,lev,sep,NA,G
levj,Bayer 04 Leverkusen Jugend,2,NA,NA,GER,NA
lil,Lille OSC,2,NA,NA,FRA,NA
lipp,SV Lippstadt,2,NA,NA,GER,NA
lust,Austria Lustenau,2,NA,NA,AUT,NA
luz,FC Luzern,2,NA,NA,SUI,NA
lyn,Lyngby BK,2,NA,NA,DEN,NA
macc,Maccabi Tel Aviv,2,NA,NA,ISR,NA
maff,Malmo FF,2,NA,NA,SWE,NA
mala,FC Malaga,2,NA,NA,ESP,NA
manc,Manchester City,2,NA,NA,ENG,NA
manu,Manchester United,2,NA,NA,ENG,NA
met,FC Metz,2,NA,NA,FRA,NA
mli,AD Municipal Liberia,2,NA,NA,CRI,NA
mont,Montpellier HSC,2,NA,NA,FRA,NA
mtk,MTK Budapest,2,NA,NA,HUN,NA
mu60,1860 München,2,NA,NA,GER,NA
muns,Preussen Muenster,2,NA,NA,GER,NA
naci,Nacional,2,NA,NA,URU,NA
nag,Nagoya Crampus,2,NA,NA,JAP,NA
nan,FC Nantes,2,NA,NA,FRA,NA
nied,SuS Niederschelden,2,NA,NA,GER,NA
niz,OGC Nizza,2,NA,NA,FRA,NA
nkd,NK Dubrava,2,NA,NA,CRO,NA
nyfc,New York City FC,2,NA,NA,USA,NA
obk,Odense BK,2,NA,NA,DEN,NA
off,Kickers Offenbach,2,NA,NA,GER,NA
ol,Olympique Lyon,2,NA,NA,FRA,NA
olpi,Olympiakos Piraus,2,NA,NA,GRE,NA
ols,Tempo 25 Olsztyn,2,NA,NA,POL,NA
osna,VfL Osnabrueck,2,NA,NA,GER,NA
ostr,Banik Ostrau,2,NA,NA,CZE,NA
pac,Paradou AC,2,NA,NA,ALG,NA
paok,PAOK Saloniki,2,NA,NA,GRE,NA
part,Partizan Belgrad,2,NA,NA,SRB,NA
pfc,Paris FC,2,NA,NA,FRA,NA
prt,FC Porto,2,NA,NA,POR,NA
psg,Paris St Germain,2,NA,NA,FRA,NA
pus,Puskas AFC,2,NA,NA,HUN,NA
rbl,Red Bull Leipzig,2,NA,NA,GER,NA
rbl1,Peter Gulacsi,1,rbl,mtk,NA,E
rbl10,Emil Forsberg,1,rbl,sun,NA,H
rbl11,Timo Werner,1,rbl,vfbj,NA,L
rbl13,Orjan Nyland,1,rbl,hoed,NA,B
rbl16,Lukas Klostermann,1,rbl,bocj,NA,I
rbl17,Dominik Szoboszlai,1,rbl,rbs,NA,I
rbl18,Christopher Nkunku,1,rbl,psg,NA,L
rbl19,Andre Silva,1,rbl,prt,NA,J
rbl2,Mohamed Simakan,1,rbl,stra,NA,H
rbl21,Janis Blaswich,1,rbl,bmgj,NA,A
rbl22,David Raum,1,rbl,fur,NA,H
rbl23,Marcel Halstenberg,1,rbl,han,NA,G
rbl24,Xaver Schlager,1,rbl,rbs,NA,H
rbl25,Sanoussy Ba,1,rbl,rblj,NA,A
rbl27,Konrad Laimer,1,rbl,rbs,NA,H
rbl32,Josko Gvardiol,1,rbl,zag,NA,L
rbl37,Abdou Diallo,1,rbl,asm,NA,I
rbl39,Benjamin Henrichs,1,rbl,levj,NA,F
rbl4,Willi Orban,1,rbl,fck,NA,F
rbl44,Kevin Kampl,1,rbl,levj,NA,G
rbl7,Dani Olmo,1,rbl,bar,NA,J
rbl8,Amadou Haidara,1,rbl,bama,NA,G
rbl9,Yussuf Poulsen,1,rbl,lyn,NA,I
rblj,Red Bull Leipzig Jugend,2,NA,NA,GER,NA
rbs,Red Bull Salzburg,2,NA,NA,AUT,NA
reim,Stade Reims,2,NA,NA,FRA,NA
ren,Stade Rennes,2,NA,NA,FRA,NA
rev,RE Virton,2,NA,NA,FRA,NA
rij,HNK Rijeka,2,NA,NA,CRO,NA
rivp,River Plate,2,NA,NA,ARG,NA
rma,Real Madrid,2,NA,NA,ESP,NA
rwa,Rot Weiss Ahlen,2,NA,NA,GER,NA
rwer,Rot Weiss Erfurt,2,NA,NA,GER,NA
rwie,Rapid Wien,2,NA,NA,AUT,NA
rwo,Rot Weiß Oberhausen,2,NA,NA,GER,NA
sang,Kyoto Sanga,2,NA,NA,JAP,NA
saop,Sao Paolo FC,2,NA,NA,BRA,NA
scf,SC Freiburg,2,NA,NA,GER,NA
scf1,Benjamin Uphoff,1,scf,burg,NA,A
scf11,Daniel Kofi Kyereh,1,scf,have,NA,D
scf14,Yannik Keitel,1,scf,scfj,NA,B
scf17,Lukas Kuebler,1,scf,bonn,NA,B
scf18,Nils Petersen,1,scf,czj,NA,E
scf22,Roland Sallai,1,scf,pus,NA,F
scf23,Robert Wagner,1,scf,scfj,NA,A
scf25,Kiliann Sildillia,1,scf,met,NA,D
scf26,Mark Flekken,1,scf,aaa,NA,C
scf27,Nicolas Hoefler,1,scf,scfj,NA,B
scf28,Matthias Ginter,1,scf,scfj,NA,I
scf29,Woo Yeong Jeong,1,scf,fcbj,NA,C
scf3,Philipp Lienhart,1,scf,rma,NA,G
scf30,Christian Guenter,1,scf,scfj,NA,E
scf32,Vincenzo Grifo,1,scf,ksc,NA,E
scf33,Noah Weisshaupt,1,scf,scfj,NA,B
scf38,Michael Gregoritsch,1,scf,svka,NA,F
scf42,Ritsu Doan,1,scf,gamb,NA,F
scf5,Manuel Gulde,1,scf,tsgj,NA,B
scf7,Jonathan Schmid,1,scf,scfj,NA,C
scf8,Maximilian Eggestein,1,scf,svwj,NA,H
scf9,Lucas Hoeler,1,scf,blum,NA,C
scfj,SC Freiburg Jugend,2,NA,NA,GER,NA
sep,Sepaphan FC,2,NA,NA,IRN,NA
sge,Eintracht Frankfurt,2,NA,NA,GER,NA
sge1,Kevin Trapp,1,sge,fck,NA,E
